feature,importance
close_to_range,0.056736501839867434
daily_return,0.024711325992332583
rolling_return_3,0.023426318976156837
ma_5,0.020200933988371535
rolling_max_10,0.020141638891677572
rsi_volatility_interaction,0.020120365751545022
momentum_3,0.01690655645153425
bollinger_width,0.01612511455831371
close_to_ma50,0.013626408027737758
volatility_regime,0.013148872855761
volume_change,0.0123247365897799
momentum_7,0.010769984954642601
std_5,0.010518398055388343
month,0.008089113303287395
weekday,0.007898481728139475
rsi_14,0.007182399382911753
ma_gap_5_20,0.005049113944268224
day,0.005000442321743496
price_gap,1.9356954627814006e-05
