date,open,high,low,close,volume
1986-03-13,0.0544,0.0624,0.0544,0.0597,2200424
1986-03-14,0.0597,0.0629,0.0597,0.0619,657726
1986-03-17,0.0619,0.0635,0.0619,0.0629,284033
1986-03-18,0.0629,0.0634,0.0608,0.0613,144528
1986-03-19,0.0613,0.0619,0.0597,0.0603,102221
1986-03-20,0.0603,0.0603,0.0581,0.0587,124714
1986-03-21,0.0587,0.0597,0.056,0.0571,128029
1986-03-24,0.0571,0.0571,0.0549,0.0555,139334
1986-03-25,0.0555,0.0565,0.0549,0.0565,68414
1986-03-26,0.0565,0.0587,0.056,0.0581,48519
1986-03-27,0.0581,0.0592,0.0581,0.0592,35925
1986-03-31,0.0593,0.0593,0.0577,0.0587,27475
1986-04-01,0.0587,0.0587,0.0581,0.0581,23645
1986-04-02,0.0581,0.0597,0.0581,0.0587,57655
1986-04-03,0.0592,0.0608,0.0592,0.0592,49129
1986-04-04,0.0592,0.0597,0.0592,0.0592,56682
1986-04-07,0.0592,0.0597,0.0571,0.0581,35314
1986-04-08,0.0581,0.0597,0.0581,0.0587,21882
1986-04-09,0.0587,0.0603,0.0587,0.0597,25919
1986-04-10,0.0597,0.0609,0.0587,0.0603,29628
1986-04-11,0.0608,0.0624,0.0608,0.0613,36731
1986-04-14,0.0613,0.0625,0.0613,0.0619,25940
1986-04-15,0.0619,0.0619,0.0597,0.0619,19855
1986-04-16,0.0619,0.0645,0.0613,0.064,68054
1986-04-17,0.064,0.0645,0.064,0.0645,46931
1986-04-18,0.0645,0.0645,0.0618,0.0624,46124
1986-04-21,0.0624,0.0629,0.0608,0.0624,48888
1986-04-22,0.0624,0.0624,0.0613,0.0613,33168
1986-04-23,0.0613,0.0618,0.0608,0.0616,33287
1986-04-24,0.0616,0.0688,0.0613,0.0677,133004
1986-04-25,0.0683,0.0749,0.0683,0.072,183010
1986-04-28,0.0719,0.073,0.0714,0.0725,61573
1986-04-29,0.0726,0.0726,0.0698,0.0704,64687
1986-04-30,0.0704,0.071,0.0672,0.0688,65913
1986-05-01,0.0688,0.0688,0.0667,0.0677,115925
1986-05-02,0.0677,0.0688,0.0672,0.0677,43188
1986-05-05,0.0677,0.0677,0.0672,0.0672,6941
1986-05-06,0.0677,0.0688,0.0677,0.0677,20765
1986-05-07,0.0677,0.0683,0.0667,0.0677,10997
1986-05-08,0.0676,0.0682,0.0672,0.0682,7550
1986-05-09,0.0683,0.0683,0.0677,0.0677,12963
1986-05-12,0.0676,0.0698,0.0676,0.0682,22345
1986-05-13,0.0682,0.0693,0.0682,0.0688,8170
1986-05-14,0.0688,0.0688,0.0682,0.0682,19828
1986-05-15,0.0682,0.0692,0.0682,0.0682,8103
1986-05-16,0.0682,0.0704,0.0682,0.0688,25493
1986-05-19,0.0688,0.0688,0.0672,0.0677,23468
1986-05-20,0.0677,0.0677,0.0666,0.0672,132189
1986-05-21,0.0672,0.0677,0.0661,0.0661,17262
1986-05-22,0.0661,0.0667,0.0661,0.0661,9399
1986-05-23,0.0661,0.0672,0.0661,0.0661,8723
1986-05-27,0.0661,0.0682,0.0661,0.0682,29588
1986-05-28,0.0682,0.0704,0.0682,0.0704,33111
1986-05-29,0.0704,0.073,0.0698,0.072,97433
1986-05-30,0.0725,0.0757,0.0725,0.0746,57715
1986-06-02,0.0746,0.0746,0.0725,0.0725,42051
1986-06-03,0.0725,0.0725,0.0714,0.0725,10682
1986-06-04,0.0726,0.073,0.0714,0.072,10075
1986-06-05,0.072,0.073,0.0714,0.073,29225
1986-06-06,0.073,0.073,0.072,0.073,7306
1986-06-09,0.073,0.073,0.0698,0.0698,27011
1986-06-10,0.0698,0.0698,0.0688,0.0698,7305
1986-06-11,0.0698,0.0698,0.0688,0.0698,4911
1986-06-12,0.0698,0.0698,0.0666,0.0672,29239
1986-06-13,0.0672,0.0677,0.0666,0.0672,16831
1986-06-16,0.0672,0.0676,0.066,0.0666,20440
1986-06-17,0.0672,0.0688,0.0672,0.0677,27891
1986-06-18,0.0677,0.0677,0.0661,0.0672,9275
1986-06-19,0.0672,0.0676,0.066,0.0666,18046
1986-06-20,0.0667,0.0672,0.0667,0.0669,8109
1986-06-23,0.0669,0.0677,0.0656,0.0677,98540
1986-06-24,0.0677,0.0682,0.0666,0.0672,31082
1986-06-25,0.0672,0.0677,0.0661,0.0661,32497
