date,open,high,low,close,volume
1999-03-10,43.3404,43.42,42.6773,43.3404,2220471
1999-03-11,43.6587,43.9107,42.7038,43.5526,4111705
1999-03-12,43.3934,43.4199,42.1468,42.4916,3710657
1999-03-15,42.8099,43.7647,42.359,43.7117,2702911
1999-03-16,43.8973,44.2687,43.4199,44.083,2081948
1999-03-17,44.0831,44.1361,43.6322,43.7648,1682690
1999-03-18,43.7117,44.64,43.6984,44.6135,2057589
1999-03-19,45.1971,45.1971,43.4465,43.473,3038771
1999-03-22,43.6587,43.7647,42.8629,42.9425,2132452
1999-03-23,42.7038,42.8629,41.351,41.4306,4652280
1999-03-24,41.802,42.8629,41.1654,42.8364,3584783
1999-03-25,43.4995,44.4013,43.2143,44.4013,3451864
1999-03-26,44.03,44.534,43.7382,43.9239,3503812
1999-03-29,44.4543,45.5418,44.1891,45.5153,2170220
1999-03-30,45.4623,45.8337,45.0114,45.1971,2096721
1999-03-31,45.9398,45.9928,44.4014,44.534,3503985
1999-04-01,45.8336,45.8867,44.7196,45.4623,3698859
1999-04-05,46.1984,47.1731,45.9132,47.1068,2417810
1999-04-06,47.0537,47.7168,46.6558,47.1996,3192394
1999-04-07,47.6372,47.7433,45.701,46.7089,5060200
1999-04-08,46.6294,47.3058,45.6745,47.0803,3374886
1999-04-09,47.0007,47.4781,46.868,47.372,2099349
1999-04-12,46.258,47.372,46.2049,47.0537,4640227
1999-04-13,47.3455,47.4516,46.0459,46.4172,4227817
1999-04-14,47.0007,47.0537,44.5671,44.8257,9019801
1999-04-15,44.9849,45.5088,43.3934,45.4358,7490663
1999-04-16,45.3297,45.3297,43.8709,44.1096,7330840
1999-04-19,44.4013,44.7727,41.5964,42.0407,8258799
1999-04-20,41.8551,43.3404,41.4572,42.9956,7390087
1999-04-21,43.3934,45.144,42.8099,45.1175,4642949
1999-04-22,45.5419,46.4702,45.2435,46.3376,5784630
1999-04-23,46.0988,47.2924,45.6214,46.9476,2998026
1999-04-26,47.2659,48.3799,47.1134,48.0285,2300593
1999-04-27,48.38,48.6187,46.6891,47.2925,6995067
1999-04-28,46.8946,47.0538,45.4689,45.6745,3257923
1999-04-29,45.4623,45.7276,44.3483,45.3032,8126227
1999-04-30,45.9397,46.1784,43.9769,45.5949,6491059
1999-05-03,45.4623,45.648,44.5936,45.3562,4714838
1999-05-04,45.4357,46.1519,44.3748,44.64,6547582
1999-05-05,44.6666,45.9928,43.3139,45.9928,5365339
1999-05-06,45.5684,45.9663,43.8974,44.3218,6439377
1999-05-07,44.7196,45.0909,43.7647,44.9583,6972817
1999-05-10,45.2501,45.7142,44.7196,45.4092,4500264
1999-05-11,45.7806,46.3641,45.5153,46.1254,3734932
1999-05-12,46.3376,47.2394,44.9849,47.0803,5307963
1999-05-13,47.4516,47.5312,45.9928,46.205,4186141
1999-05-14,45.3032,45.8337,44.9849,45.3297,5179797
1999-05-17,44.9318,46.2845,44.4875,46.1453,4204302
1999-05-18,46.0988,46.3641,45.4092,45.9397,3933117
1999-05-19,46.1254,46.6028,45.4092,46.5763,3388972
1999-05-20,46.6758,46.6758,45.2235,45.2965,2545123
1999-05-21,45.4358,45.5684,44.6401,44.8788,4443999
1999-05-24,44.9583,45.0379,43.4464,43.7382,4061282
1999-05-25,43.6852,44.3217,42.1202,42.3059,7541834
1999-05-26,42.863,43.6587,41.5368,43.4863,11361656
1999-05-27,43.3139,44.0765,42.7569,43.4465,9902959
1999-05-28,43.7117,44.4013,43.1547,44.1626,5504193
1999-06-01,44.083,44.2952,42.9425,43.1812,2953806
1999-06-02,43.1547,44.1361,42.0739,43.9107,5091188
1999-06-03,44.2422,44.2422,43.0221,43.2873,4730962
1999-06-04,43.6056,44.766,43.6056,44.6135,5511576
1999-06-07,44.9252,45.827,44.8257,45.5419,4876957
1999-06-08,45.6479,45.8601,44.1692,44.4013,3452289
1999-06-09,44.5605,45.27,44.5339,45.144,3558217
1999-06-10,44.6666,44.9318,44.0897,44.6268,3986001
1999-06-11,44.9318,44.9782,43.5525,43.9504,7031045
1999-06-14,44.1096,44.1096,43.0221,43.1216,5999459
1999-06-15,43.2277,44.0234,43.1017,43.7648,3882198
1999-06-16,44.8523,46.0127,44.7992,46.0127,6391333
1999-06-17,45.4093,46.7355,45.4093,46.5233,6908238
1999-06-18,46.0989,46.8681,46.0193,46.7355,2288628
1999-06-21,47.0537,48.1611,46.9742,48.1346,4483717
1999-06-22,47.8495,48.4595,46.6824,46.6824,4610014
1999-06-23,46.6891,47.5312,46.3907,47.4185,4077075
1999-06-24,47.3985,47.425,46.258,46.4768,6361025
1999-06-25,46.7885,47.1599,45.9928,46.4172,3664826
1999-06-28,46.815,47.5842,46.4304,47.5179,3253422
1999-06-29,47.4782,48.3535,47.2395,48.1678,3819643
1999-06-30,48.2142,50.8732,47.6439,48.9104,8261762
1999-07-01,49.0696,49.5205,48.2208,49.242,2895415
1999-07-02,49.2287,49.9183,49.2287,49.8653,1401321
1999-07-06,50.1305,50.6345,49.2818,49.547,3732385
1999-07-07,49.5205,49.8388,49.1757,49.6266,4464537
1999-07-08,49.6266,50.4953,49.3879,50.2897,4763729
1999-07-09,50.4753,50.8466,50.104,50.7936,1778683
1999-07-12,50.9793,51.2446,50.2366,50.5284,3317082
1999-07-13,50.2897,50.4754,49.8918,50.2897,2643923
1999-07-14,50.7937,51.2446,50.0775,51.1451,2932251
1999-07-15,51.3241,51.6159,51.039,51.6159,2775397
1999-07-16,51.6424,52.3851,51.6225,52.0933,2085345
1999-07-19,52.3055,52.3055,51.3572,51.5628,2899824
1999-07-20,50.9328,51.0058,49.4409,49.5735,6296773
1999-07-21,49.6796,50.2432,49.2817,49.8122,4659918
1999-07-22,49.8122,49.8122,48.4065,48.5457,6428760
1999-07-23,48.9105,49.116,48.1147,48.6187,5141434
1999-07-26,47.9556,48.4861,47.3455,47.4251,4549415
1999-07-27,48.3799,49.1226,47.9688,48.3799,5827996
1999-07-28,48.9635,49.6001,48.3335,49.3282,4312521
1999-07-29,48.4065,48.8044,47.7965,48.2739,5531361
1999-07-30,48.486,49.0165,47.9621,48.0351,4645915
1999-08-02,48.1147,49.0696,47.7168,47.9025,4092094
1999-08-03,48.5589,48.5656,46.8946,47.5908,5519128
1999-08-04,47.5908,47.9489,46.689,46.7288,5613598
1999-08-05,46.7354,47.4715,45.6214,47.4715,7933971
1999-08-06,47.1333,48.0086,46.6294,46.9609,5259071
1999-08-09,47.1333,47.2659,46.2646,46.3575,3388040
1999-08-10,46.2315,46.5697,44.9318,45.9397,7115752
1999-08-11,46.762,47.5312,46.0591,47.4516,5560044
1999-08-12,47.6373,47.9556,46.7885,46.8946,5396062
1999-08-13,47.876,48.99,47.7965,48.937,6086797
1999-08-16,48.9104,49.494,48.5921,49.3282,4867957
1999-08-17,49.7592,49.8122,48.6717,49.5735,4841556
1999-08-18,49.3348,49.9448,48.8308,49.0165,2985635
1999-08-19,48.5656,48.9104,48.1213,48.433,4310823
1999-08-20,48.486,49.2022,48.2208,49.2022,2937088
1999-08-23,49.6531,50.7671,49.5404,50.7671,4096168
1999-08-24,50.3957,51.6689,50.2963,51.1119,5895305
1999-08-25,51.4302,52.4116,50.8732,52.1994,4817623
1999-08-26,52.1994,52.385,51.2511,51.3307,4139028
1999-08-27,51.7154,51.722,50.6876,50.8202,4089127
1999-08-30,51.0323,51.1915,49.9714,50.104,4303947
1999-08-31,50.4488,50.9793,49.3348,50.661,6191952
1999-09-01,50.9793,51.4567,50.661,51.0257,4562990
1999-09-02,50.0775,51.1119,49.9714,50.8467,6188900
1999-09-03,52.3055,53.2007,52.1198,53.1808,6024321
1999-09-07,53.0747,53.6052,52.8625,52.9421,3823290
1999-09-08,52.6238,53.1542,51.8015,52.2259,6070151
1999-09-09,52.2524,53.1012,51.9872,52.9686,5380188
1999-09-10,53.6848,54.1026,53.0747,53.5787,4350378
1999-09-13,53.5257,53.6317,52.6504,52.9355,3072892
1999-09-14,52.7299,53.5985,52.6238,53.2272,4253443
1999-09-15,53.8903,53.8903,52.1464,52.1994,6830907
1999-09-16,52.1729,52.6503,51.092,52.1729,6523230
1999-09-17,52.6503,53.8439,52.5707,53.7378,6156304
1999-09-20,53.8969,54.1091,53.4991,53.8638,2625757
1999-09-21,53.393,53.4991,52.4183,52.5708,5205432
1999-09-22,52.6504,53.4063,52.0138,53.1278,5280124
1999-09-23,53.6848,53.7909,50.6146,50.9263,8388410
1999-09-24,50.6079,51.1915,49.7592,50.9925,10003096
1999-09-27,51.7219,52.0933,51.1915,51.3506,5350987
1999-09-28,51.0921,51.7751,49.998,51.5894,8751684
